train/loss_actor,total/steps,reference_action_mean,param_noise_stddev,obs_rms_mean,rollout/episode_steps,reference_Q_std,total/episodes,rollout/episodes,reference_perturbed_action_std,total/steps_per_second,total/epochs,reference_actor_Q_std,reference_perturbed_action_mean,rollout/return,reference_actor_Q_mean,total/duration,rollout/actions_std,rollout/actions_mean,reference_Q_mean,obs_rms_std,train/loss_critic,rollout/return_history,train/param_noise_distance,reference_action_std,rollout/Q_mean
-4790.03661621,1410223,-0.0690285637975,0.0219626639206,0.633265376091,1719.78414634,344.662689209,820.0,820.0,0.932247638702,314.442183835,41,349.572692871,-0.086107082665,68758.3133493,654.073608398,4484.8403697,0.629602913104,-0.122426275279,644.17565918,0.157254710793,4472.14100098,157282.847159,,0.969694137573,2619.30189867
-5275.16879395,1447477,-0.23724372685,0.0219626639206,0.6342638731,1723.18690476,357.25769043,840.0,840.0,0.940176188946,312.857398844,42,359.698730469,0.0308002028614,71257.0408333,670.258911133,4626.63502717,0.626092376582,-0.115529478705,667.469299316,0.157419592142,4491.42560059,159928.167898,,0.922559142113,2750.45443648
-5450.34783203,1492065,0.195532247424,0.0219626639206,0.636067688465,1734.95930233,438.209350586,860.0,860.0,0.947936534882,310.853254169,43,446.715026855,0.0925502479076,74902.4299926,691.323364258,4799.90149689,0.620031069961,-0.109720934972,677.486694336,0.157861918211,8963.08578125,178851.301069,,0.946842968464,2928.30332181
-5709.42981445,1533570,-0.0836598873138,0.0228544361461,0.636751949787,1742.69318182,472.361022949,880.0,880.0,0.94234251976,310.657355208,44,482.646453857,-0.126515895128,76462.0786552,716.499389648,4936.53208041,0.622037348891,-0.096280841668,702.34765625,0.157882243395,39902.3560156,178299.154536,,0.955447912216,3011.19675127
-5969.30163086,1575986,0.278673797846,0.0247480794341,0.637623548508,1751.09555556,513.194152832,900.0,900.0,0.912548840046,310.475845364,45,525.298095703,0.207748293877,78642.3433645,736.88079834,5076.03416991,0.61853974367,-0.08884785881,723.585571289,0.157918095589,86965.4974438,180690.865824,,0.92148154974,3137.40551797
-6439.34137695,1627486,0.257312864065,0.0273372761044,0.639272034168,1769.00652174,512.938598633,920.0,920.0,0.889643490314,310.66744254,46,526.93157959,0.317550957203,82642.594924,702.664428711,5238.67575788,0.610760534996,-0.085121702823,692.343139648,0.158300235868,8451.29302002,196493.703837,,0.901611149311,3322.09688099
-6971.04710938,1667610,0.0699942857027,0.0224041134654,0.6407725811,1774.05319149,529.130249023,940.0,940.0,0.954029202461,309.294434538,47,538.198974609,-0.100977100432,85312.9700476,770.322753906,5391.65860677,0.604699815627,-0.0821678040091,755.42956543,0.158513188362,10887.9283057,203382.775448,,0.957710444927,3471.88103371
-7425.97123047,1703630,0.2708145082,0.0211056883402,0.641493022442,1774.61458333,670.166442871,960.0,960.0,0.867374956608,308.452194371,48,683.293334961,0.316664785147,86618.2209013,876.518554688,5523.15733552,0.602874875512,-0.0759887798722,860.517456055,0.158561319113,7278.11800659,187374.022716,,0.916511952877,3563.10573184
-7514.62814453,1737336,-0.0536980926991,0.0224041134654,0.642151892185,1772.79183673,637.929382324,980.0,980.0,0.823858618736,307.89375883,49,657.99786377,-0.454733222723,87944.8465642,870.479858398,5642.64766717,0.60043974739,-0.0716106735362,852.010864258,0.158488631248,14087.0756104,188993.204163,,0.933796226978,3655.37983001
-7875.04084961,1765369,0.141413927078,0.0224041134654,0.642819702625,1765.369,673.24407959,1000.0,1000.0,0.87273055315,307.143701116,50,698.801635742,0.229688003659,88829.7470735,913.449584961,5747.69722962,0.596955537636,-0.0697871233581,888.956787109,0.158486604691,11501.7318945,180516.380454,,0.951888501644,3740.8023016
-8119.08731445,1794839,-0.0895233377814,0.0206898228999,0.643443822861,1759.64607843,690.806640625,1020.0,1020.0,0.874919354916,305.479278619,51,706.61138916,-0.295628875494,89737.1385223,1052.74108887,5875.48526406,0.594219359866,-0.0668259541759,1018.74145508,0.158438697457,44156.2031982,155006.939626,,0.906941533089,3824.30722785
-8387.93930664,1826745,0.0777791365981,0.0206898228999,0.643809258938,1756.48557692,670.02746582,1040.0,1040.0,0.922208487988,304.161886843,52,680.903503418,0.105507351458,90551.351109,1060.96472168,6005.83136487,0.591803833601,-0.0635200433824,1044.11279297,0.158340781927,53373.8854199,139792.133086,,0.925698697567,3897.88883454
